gene	score
GCH1	2.32544292477253
KIAA1377	2.32481111239431
HIST1H2AA	2.32474798217255
TLX1	2.32301552105768
LOC645705	2.31997697576037
OR2W2P	2.31939988454971
ATP5G2	2.31723876731901
LOC100131750	2.31668081389437
LOC285830	2.31555161734059
COL9A1	2.31545893786085
KCNE4	2.3139172001301
BTN2A1	2.31350187235963
MIPOL1	2.31140059489965
CRYGC	2.30993422522565
SERP1	2.30853359982954
LOC391334	2.3080171215059
LOC100133113	2.3075770818722
HPCA	2.30505171660418
SLC18A3	2.30266091160643
IRF6	2.30200162426709
LOC100287808	2.30037268578833
LOC648809	2.30031302420853
NPHP3	2.30013408858039
LOC100174950	2.29860124525028
MUC17	2.29628989212964
LOC100131717	2.29565493976206
CKM	2.29509458839355
DMAP1	2.29231822986778
TIFA	2.29186453091019
TLN1	2.29092935170628
TRAV20	2.2908709694854
LOC440419	2.29063751865254
HIST1H2BA	2.28796176544907
MIR608	2.28739672064773
SNORD54	2.28694810286463
CKLF	2.28291677882151
SLC17A2	2.28111472095135
GPHB5	2.27941955254305
TBX21	2.27756098571666
LOC100132379	2.27689608502156
SH3GLB1	2.27569615527205
PCGF5	2.27388132177201
DMWD	2.27339021424712
KIAA1522	2.27320794244804
LOC100287899	2.27123582983653
PCP2	2.2656611992868
LY6H	2.26427161227623
TERF2	2.26337963056584
ZBTB44	2.26266733955465
IGFBP2	2.26255785815168
LOC100288212	2.26216121523858
PDCD2	2.26113706181749
NOL12	2.26002002809862
RNASEL	2.25989759842568
ILDR2	2.2580516605434
MYO5B	2.25529709888554
TRIM6-TRIM34	2.2548127717626
KCNH4	2.25465144685988
MCEE	2.25373837901358
LOC285556	2.24929394889643
LOC100287199	2.24898861139642
MEGF6	2.24884265450639
ELFN2	2.2486304390598
RPS2	2.24839181766624
OVOL1	2.24779582365659
ECHS1	2.24739893744431
OR51I2	2.24621039819227
PSMC3P	2.24614446119445
PRO0611	2.24614446119445
TULP4	2.24502502354884
MAP3K7IP2	2.24368540130683
C13ORF26	2.2409921032518
ASF1A	2.24062727606028
WBP4	2.23953458023682
EML6	2.23591144569486
DEFB134	2.23507454376831
FAM82B	2.23494592847309
DCLRE1B	2.23441899192324
HCG9	2.23422636517222
FCER2	2.23346950318737
RPL13AP3	2.23229185850923
BAI3	2.2321384807028
FERMT1	2.23161483568752
FAM184A	2.23002212268254
SS18L2	2.22942472317162
EP300	2.22910728135853
CCNA1	2.228764696311
LOC100128719	2.2258821355527
SLC2A1	2.22536573731357
SCARNA8	2.22324340976632
CXXC6P1	2.22217974056878
HCG4P4	2.2220422728378
LOC387720	2.2201221194865
LMX1A	2.21992309175415
LOC100131425	2.21723242292738
MGST2	2.21048375803538
PSMD13	2.21041068910806
UGT1A12P	2.21019155310706
HLA-W	2.20904889715544
TRIM15	2.20818773530732
LOC100132158	2.20401435275285
TMEM86A	2.20299494945159
ADAMTSL3	2.20292307801288
LOC100288040	2.20002180230145
SLC15A1	2.19954599673675
FAM63A	2.19875013625174
LOC100233209	2.19815711668408
ZBTB47	2.19758854424766
DDX47	2.19480334649117
ZNF322A	2.19466218029803
LOC648934	2.19427419861576
GALM	2.19414494475732
FOXI2	2.19375740296764
ATP5L	2.19274899086127
PITPNM2	2.19202337688215
